id,name,album,artist,genre
5M4V45fWkpBq9ELxkG7Tnz,The Element of One,Alive or Just Breathing (Topshelf Edition),Killswitch Engage,"alternative metal, boston metal, melodic metalcore, metalcore, nu metal"
4K3x7FJ5PU3k10yTq14bCs,Lost,Killswitch Engage,Killswitch Engage,"alternative metal, boston metal, melodic metalcore, metalcore, nu metal"
3kDWlqhPyV2qy66j6z5SNp,Preaching The End Of The World,Euphoria Morning,Chris Cornell,"alternative metal, alternative rock, rock"
6IyWD0fAwt05ee3emHHXkn,Nowhere Now,To The Bone,Steven Wilson,"alternative metal, art rock, progressive metal, progressive rock, symphonic rock"
6i4pBJSyflRT0lMLetarTt,Decades,Decades,Skjalg A. Skagen,no information
1Fp2GPYYVnKIavZ3SdWt97,Must Kill,Inflikted (Special Edition),Cavalera Conspiracy,"alternative metal, death metal, groove metal, metal, nu metal"
01iiEi9h8CQGUN2K1xBbTj,List Of People (To Try And Forget About),Currents B-Sides & Remixes,Tame Impala,"australian psych, neo-psychedelic"
6KlX8VFX00McAJyRYSoYEc,Feel Real,Life After Defo,Deptford Goth,"electropop, gauze pop"
3dAAlzhQiEywGIQ1ULDKNE,A Heart Like Hers,Another One,Mac DeMarco,"edmonton indie, lo-fi indie"
63h44N1oLElnzut7RxZt6Z,why are you here,why are you here,Machine Gun Kelly,"ohio hip hop, pop rap"
760IJcunfpbkm6sHbMmyyj,Wish (feat. Trippie Redd),California,Diplo,"bmore, edm, moombahton, ninja, pop, pop dance, tropical house"
2gTdDMpNxIRFSiu7HutMCg,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Hotel Diablo,Machine Gun Kelly,"ohio hip hop, pop rap"
6mADjHs6FXdroPzEGW6KVJ,bloody valentine,Tickets To My Downfall,Machine Gun Kelly,"ohio hip hop, pop rap"
2YZrjrLRMfGdyue73N6BLY,Kiss & Tell,Kiss & Tell,Angels & Airwaves,"pop punk, pop rock, socal pop punk"
3FCu8Cj7RBW3iHPaRPCurl,drip bounce _ 7_24_18,Soul Trash,Toro y Moi,"alternative dance, alternative r&b, chillwave, indie pop, indie soul, indietronica, new rave, nu gaze"
23kC0iO9pb6Id9AAk0qYLE,Hold Back Your Love,Friends (Deluxe Version),White Lies,"alternative dance, dance-punk, indie rock, modern rock, new rave, rock"
413CBplTN03RNZD8H34B6q,Strangest Thing,A Deeper Understanding,The War On Drugs,"indie rock, modern rock, philly indie"
7vcDJCAO356RYkCfiUozmE,Maldito duende,Senderos De Traición - Edición Especial,Heroes Del Silencio,"latin alternative, latin rock, musica aragonesa, rock en espanol, spanish rock"
7ap5NaoYRB6TJdrhX5Fej8,Hybrid Moments - C.I. Recording 1978,The Misfits Box Set,Misfits,"horror punk, new jersey hardcore, new jersey punk, punk"
